product_id,product_name,brand,type,price,avg_star,num_sold_time
0,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],simple,no_type,99000.0,4.8,185700
1,Sữa rửa mặt Simple giúp kiềm dầu và ngừa mụn hiệu quả - cho da dầu mụn 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],simple,no_type,99000.0,4.8,102600
2,"Sữa rửa mặt nam 30Shine phân phối chính hãng Skin&dr Tràm trà 80g cho da mụn, da dầu, dưỡng ẩm trắng da",Skin&Dr	,dạng kem,244000.0,4.9,8100
3,Sữa rửa mặt nam RHYS MAN Rhys Coconut Fresh hương dừa thơm mát 100ml,RHYS MAN,dạng sánh,119000.0,4.9,3600
4,🌈🍒🍭 Sữa Rửa Mặt Senana Lấy Sạch Bụi Bẩn Giúp Da Trắng Sáng-Y3-K6T3,no_brand,no_type,9900.0,4.8,26300
5,Sữa Rửa Mặt Simple Refreshing Facial Wash 150ml kiềm dầu Giảm Mụn,SIMPLE PURE,dạng gel,31000.0,3.0,35
6,Sữa Rửa Mặt Dạng Gel Simple Refreshing  – LQ154,no_brand,no_type,35000.0,4.9,73
7,"Sữa Rửa Mặt Simple Kind To Skin Refreshing Facial Wash, Kiềm Dầu, sạch Mụn 150ml",SIMPLE PURE,dạng lỏng,33500.0,5.0,26
8,Sữa rửa mặt giảm nám và chống tàn nhang Đông Y Baizton da trắng sáng và dưỡng ẩm 60g,no_brand,no_type,19900.0,5.0,8
9,Sữa Rửa Mặt SVR Sebiaclear Gel Moussant 400ml Gel Rửa Mặt SVR 400ml,SVR,no_type,329000.0,5.0,2100
10,[Chính Hãng] Sữa Rửa Mặt Simple Gel Kind To Skin Refreshing Facial Wash Gel 150ml,no_brand,no_type,40000.0,4.6,3000
11,Sữa Rửa Mặt Làm Sạch Bio Sebium Moussant 200ml,no_brand,no_type,160000.0,4.9,410
12,Sữa Rửa Mặt Simple Kind To Skin 150ml,no_brand,no_type,32000.0,3.5,4
13,"Gel Rửa Mặt Cosrx Tràm Trà, 0.5% BHA Độ pH Thấp Low pH Good Morning Gel Cleanser 150ml - Hasaki - Sản phẩm chính hãng",COSRX,no_type,130000.0,5.0,9900
14,Sữa rửa mặt trà xanh mẫu mới,no_brand,no_type,19000.0,4.7,3700
15,Sữa rửa mặt Samsara 100ml,no_brand,dạng sánh,72000.0,5.0,216
16,Sữa rửa mặt Dr.Pepti GALACTO CLEANSING FOAM,Dr.Pepti+,no_type,115000.0,4.8,122
17,sữa rửa mặt Sữa Rửa Mặt Dưỡng Ẩm Làm Trắng Da Axit Amin Axit Salicylic Kiểm Soát Dầu 500g Làm sạch sâu thu nhỏ lỗ chân l,no_brand,dạng kem,223500.0,5.0,6
18,Sữa Rửa Mặt Heyxi Chiết Xuất Lô Hội Làm Sạch Sâu Kiềm Dầu Dưỡng Ẩm Cho Nam Và Nữ HSRM2,no_brand,dạng kem,13000.0,4.7,2000
19,Sữa Rửa Mặt SVR Sebiaclear Gel Moussant Cho Da Dầu Mụn & Loại Bỏ Tế Bào Chết 55ml 200ml 400ml Chính Hãng,SVR,dạng sánh,322000.0,5.0,3700
20,Sữa Rửa Mặt NICOR Amino Acid Dưỡng Ẩm 120ml Cho Nam Nữ,no_brand,dạng lỏng,24600.0,4.6,1700
21,Sữa rửa mặt nghệ và mật ong collagen x3 [Chính Hãng],no_brand,dạng lỏng,45500.0,4.9,1200
22,(chính hãng) Sữa rửa mặt Hatomugi Naturie hạt ý dĩ 130g 170g Nhật Bản,no_brand,no_type,47500.0,4.9,18800
23,Sữa rửa mặt Hatomugi ý dĩ dưỡng ẩm trắng da Reihaku Cleansing Facial Foam Nhật Bản,HATOMUGI,dạng kem,59500.0,5.0,4700
24,[MUA 1 TẶNG 1] Sữa rửa mặt dành cho da mụn Senka perfect whip acne care 100g,SENKA,no_type,147000.0,4.9,6800
25,【💯hàng thật】Sữa Rửa Mặt cetaphil Gentle Skin Cleanser 500ml,Cetaphil,no_type,240000.0,4.9,1100
26,Sữa Rửa Mặt SENANA Amino Acid Collagen 60g Làm Sạch Sâu Dưỡng Ẩm Kiểm Soát Dầu,no_brand,no_type,15000.0,4.9,246
27,Gel rửa mặt Cosrx Low pH Good Morning Gel Cleanser,COSRX,no_type,69000.0,5.0,6700
28,Sữa Rửa Mặt Dạng Gel Cosrx Low pH Good Morning Gel Cleanser,COSRX,dạng lỏng,103000.0,5.0,26500
29,Sữa Rửa Mặt Dịu Nhẹ Cetaphil Gentle Skin Cleanser Hasaki Sản phẩm chính hãng,Cetaphil,no_type,232500.0,4.9,68700
30,Sữa Rửa Mặt Cosrx Low PH Good Morning Gel Cleanser 150ml Hàn Quốc / Gel Rửa Mặt Cosrx chiết xuất trà xanh độ PH thấp,COSRX,no_type,164000.0,5.0,3100
31,SỮA RỬA MẶT GAMMAPHIL 500ml,no_brand,no_type,119000.0,4.9,10000
32,Sữa rửa mặt làm sạch ngăn ngừa mụn từ trà xanh 3W CLINIC GREEN TEA CLEANSING FOAM,3W CLINIC,dạng kem,27900.0,4.9,24600
33,"Sữa rửa mặt thảo mộc, ngừa mụn Love Yourself – Đặc biệt an toàn cho mọi làn da, chăm sóc và phục hồi",no_brand,dạng sánh,175000.0,5.0,1300
34,Sữa rửa mặt giảm nám và chống tàn nhang thảo dược BAIZTON da trắng sáng và dưỡng ẩm,no_brand,no_type,15000.0,4.7,1000
35,Sữa rửa mặt da dầu mụn La Roche Posay Effaclar Purifying Foaming Gel Cleanser,La Roche-Posay,dạng sánh,335000.0,5.0,11800
36,"Sữa rửa mặt dưỡng ẩm, ngừa mụn, làm sáng da ý dĩ Hatomugi Nhật Bản 130g, 170g  [xanh - trắng]",no_brand,no_type,46750.0,4.8,3100
37,Sữa Rửa Mặt BIOAQUA Vị Đào Tạo Bọt Nhẹ Nhàng Làm Sạch Dưỡng Ẩm Và Làm Trắng 100gr,no_brand,no_type,13000.0,4.9,811
38,Sữa Rửa Mặt 3W Clinic Mẫu Mới Hot,3W CLINIC,no_type,22500.0,4.9,12500
39,Sữa rửa mặt dạng Gel Decumar Advanced kiểm soát nhờn mụn hoàn toàn mới,Decumar,dạng sánh,80000.0,4.9,391
40,Sữa rửa mặt nhau thai cừu tế bào gốc nhật 130gr,no_brand,dạng lỏng,24000.0,4.9,568
41,Sữa rửa mặt bơ thái,no_brand,no_type,30000.0,4.9,2700
42,sửa rửa mặt đông y 100ml,no_brand,no_type,29888.0,4.6,103
43,Sữa rửa mặt nhau thai cừu,no_brand,no_type,25000.0,4.9,184
44,"Sữa rửa mặt misswhite mụn, thâm",Miss White,no_type,30000.0,4.9,2700
45,Sữa rửa mặt giảm mụn cho da dầu Obagi Clenziderm MD Daily Care Foaming Cleanser 118ml,OBAGI,no_type,960000.0,4.9,955
46,Sữa Rửa Mặt Nhau Thai Cừu 130g,no_brand,no_type,22000.0,4.9,1200
47,Sữa rửa mặt đầu cọ tạo bọt Seimy - Face Cleanser Foam Collagen,SEIMY,dạng bọt,87000.0,5.0,17000
