product_id,shop_id,product_name,ingredient,feature,skin_type,capacity,design,brand,expiry,origin
0,0,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],x2 vitamin b5 vitamin e và pro amino acids,lành tính sạch thoáng cho da nhạy cảm,,,,simple,03 năm,poland
1,0,Sữa rửa mặt Simple giúp kiềm dầu và ngừa mụn hiệu quả - cho da dầu mụn 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],"chiết xuất cây hazel, kẽm, vitamin b3","kiềm dầu, ngừa mụn, cân bằng độ ẩm",da dầu dễ nổi mụn,,,simple,03 năm kể từ ngày sản xuất,poland
2,1,"Sữa rửa mặt nam 30Shine phân phối chính hãng Skin&dr Tràm trà 80g cho da mụn, da dầu, dưỡng ẩm trắng da",chiết xuất từ cây tràm trà chứa axit và glycolic có trong cây đu đủ chứa axit aha bh,"làm sạch da hiệu quả, làm mờ vết thâm, giúp da sáng đều màu và khỏe mạnh rạng rỡ, làm sạch sâu, giúp lỗ chân lông thông thoáng, cân bằng ph cho da, hỗ trợ tái tạo làn da mới mịn màng tươi sáng, điều tiết dầu nhờn, giúp da thoáng sạch se khít lỗ chân lông, cấp ẩm duy trì sự mềm mại cho da, ngăn chặn khô bong tróc, có khả năng làm sạch lớp trang điểm trên da.","cho da mụn, da dầu",80g,tuýp nhựa mềm có nắp đậy,skin dr tràm trà,2 năm kể từ ngày sản xuất,hàn quốc
3,2,Sữa rửa mặt nam RHYS MAN Rhys Coconut Fresh hương dừa thơm mát 100ml,"chiết xuất lô hội, tinh chất dầu dừa, tinh dầu bạc hà","giúp làm sạch da, giảm nhờn và giữ ẩm, giảm mụn, se nhỏ lỗ chân lông, dưỡng ẩm và làm sáng da, loại sạch bụi bẩn và bã nhờn",,10 ml,,rhys man,2 năm kể từ ngày sản xuất,việt nam
4,3,🌈🍒🍭 Sữa Rửa Mặt Senana Lấy Sạch Bụi Bẩn Giúp Da Trắng Sáng-Y3-K6T3,,"dưỡng da ẩm mượt tươi trẻ, cấp nước",,60 g,tuýp nhỏ gọn,senana,,nội địa đài loan
5,4,Sữa Rửa Mặt Simple Refreshing Facial Wash 150ml kiềm dầu Giảm Mụn,,kiềm dầu giảm mụn,thích hợp cho mọi loại da,150 ml,sữa rửa mặt dạng gel,simple,,
6,5,Sữa Rửa Mặt Dạng Gel Simple Refreshing  – LQ154,,"khả năng làm sạch nhẹ nhàng, ngăn chặn tối đa sự hình thành của mụn trên da",,150 ml,dạng gel siêu mềm mịn với độ ph cân bằng,simple facial,,
7,6,"Sữa Rửa Mặt Simple Kind To Skin Refreshing Facial Wash, Kiềm Dầu, sạch Mụn 150ml","nước aqua, hoạt chất b5, hoạt chất thanh lọc bụi bẩn và làm dịu da","làm sạch da, lấy đi bụi bẩn và bã nhờn dư thừa, giảm nguy cơ hình thành mụn trứng cá và mụn đầu đen, mang lại làn da với lỗ chân lông thông thoáng","phù hợp với da thường, da hỗn hợp, da dầu, da mụn và đặc biệt là da nhạy cảm",150g,"chất gel trong suốt, hộp nhựa màu trắng đơn giản",simple,,
8,5,Sữa rửa mặt giảm nám và chống tàn nhang Đông Y Baizton da trắng sáng và dưỡng ẩm 60g,,giúp làm mờ các mảng nám tàn nhàng và thâm mụn hiệu quả hiệu quả đối với tất cả các loại nám từ nám mảng chân sâu và nám hỗn hợp nám mới hay lâu năm đều có hiệu quả khi sử dụng đủ liệu trình sản phẩm dưỡng da trắng sáng tự nhiên và đều màu cân bằng dầu nhờn diệt mụn liti mụn cám trên da se khít lỗ chân lông dưỡng ẩm dưỡng mịn và giảm nhăn vết chân chim trên da,,,,,,
9,7,Sữa Rửa Mặt SVR Sebiaclear Gel Moussant 400ml Gel Rửa Mặt SVR 400ml,,"làm sạch nhẹ nhàng, thông thoáng làn da, tạo bọt mịn, loại trừ chất bẩn và lượng bã nhờn dư thừa, sản phẩm phù hợp với da hỗn hợp đến da dầu, da mụn nhạy cảm, giảm viêm và tiêu sửng, giúp điều hòa lượng bã nhờn dư thừa cho làn da không bóng dầu, không chứa xà phòng, không chứa cồn, không chứa chất tạo màu, không chứa paraben, không gây dị ứng","da hỗn hợp đến da dầu, da mụn nhạy cảm",40ml,"dạng gel không chứa xà phòng, tạo bọt mịn, dễ dàng rửa sạch mà không nhờn rít da. đóng gói nhỏ gọn tiện dụng.",svr,,"thương hiệu pháp, sản xuất tại pháp"
10,8,[Chính Hãng] Sữa Rửa Mặt Simple Gel Kind To Skin Refreshing Facial Wash Gel 150ml,"nước tinh lọc 3 lần, vitamin, pro vitamin b5, vitamin e","làm sạch da, giữ ẩm, phục hồi, chống lão hóa","mọi loại da, đặc biệt là da nhạy cảm",,dạng gel,simple,,anh quốc
11,9,Sữa Rửa Mặt Làm Sạch Bio Sebium Moussant 200ml,làm sạch nhẹ nhàng hạn chế tiết bã nhờn ngăn ngừa bít lỗ chân lông an toàn cho da mặt và mắt hương thơm nhẹ không gây mụn không làm khô da không chứa xà phòng,,,,,,,
12,10,Sữa Rửa Mặt Simple Kind To Skin 150ml,,"làm sạch da, giảm nguy cơ mụn đầu đen và trứng cá, giữ ẩm cho da","thích hợp cho da thường, da hỗn hợp, da dầu, da mụn và da nhạy cảm",150 ml,chai nhựa,simple,,
13,11,"Gel Rửa Mặt Cosrx Tràm Trà, 0.5% BHA Độ pH Thấp Low pH Good Morning Gel Cleanser 150ml - Hasaki - Sản phẩm chính hãng","chiết xuất tràm trà, 0.5 bha tự nhiên, alantoin","làm sạch sâu lỗ chân lông, hỗ trợ kháng khuẩn, tẩy tế bào chết nhẹ nhàng, làm dịu da, giữ độ ẩm cân bằng tự nhiên cho da","phù hợp với mọi loại da, đặc biệt da nhạy cảm, da khô và da mụn",150 ml,dạng gel trong suốt và có khả năng tạo bọt nhẹ nhàng,cosrx,3 năm kể từ ngày sản xuất,hàn quốc
14,12,Sữa rửa mặt trà xanh mẫu mới,8 chiết xuất lá trà xanh tự nhiên nguyên chất giàu độ ẩm và các thành phần chống oxy hóa,"giúp làm sạch và loại bỏ cặn bẩn, làm mềm mại và căng mịn da, giúp ngăn ngừa và điều trị mụn hiệu quả",hầu hết các loại da kể cả da nhạy cảm,,,seedling,,
15,13,Sữa rửa mặt Samsara 100ml,công thức độc đáo,"loại bỏ các chất bụi bẩn từ tận sâu lỗ chân lông, ngăn ngừa tiềm ẩn sự hình thành mụn mới, giúp se lỗ chân lông, cải thiện da mịn màng sau khi hết mụn, giảm thiểu tác hại của ánh mặt trời với da, trắng hồng láng mịn",,,,samsara,,
16,14,Sữa rửa mặt Dr.Pepti GALACTO CLEANSING FOAM,chiết xuất từ thành phần thảo dược tự nhiên,làm sạch sâu da dịu nhẹ cho lỗ chân lông thông thoáng ngăn ngừa mụn điểm nổi bất nhất chính là giữ cho da có độ ẩm tự nhiên và dưỡng da trắn g sáng,phù hợp với mọi loại da đặc biệt phù hợp với da dầu và da nhờn kể cả làn da nhạy cảm và dễ kích ứng với mỹ phẩm,,,,,
17,15,sữa rửa mặt Sữa Rửa Mặt Dưỡng Ẩm Làm Trắng Da Axit Amin Axit Salicylic Kiểm Soát Dầu 500g Làm sạch sâu thu nhỏ lỗ chân l,cốt acid glycine dừa amide,"làm sạch sâu, cân bằng dầu mỡ, giữ ẩm và đàn hồi",,50 g,"thân mật, khóa xoay, đầu bơm thân mật",sparkles,,
18,16,Sữa Rửa Mặt Heyxi Chiết Xuất Lô Hội Làm Sạch Sâu Kiềm Dầu Dưỡng Ẩm Cho Nam Và Nữ HSRM2,lô hội,"làm sạch sâu, kiểm soát dầu, dưỡng ẩm","mọi loại da (nhờn, khô, nhạy cảm, hỗn hợp)",10g/ml,sữa rửa mặt gel,nội địa chất lượng cao,3 năm,
19,17,Sữa Rửa Mặt SVR Sebiaclear Gel Moussant Cho Da Dầu Mụn & Loại Bỏ Tế Bào Chết 55ml 200ml 400ml Chính Hãng,,loại bỏ tế bào chết,cho da dầu mụn,20 ml 40 ml,dạng sản phẩm gel,svr,,pháp
20,18,Sữa Rửa Mặt NICOR Amino Acid Dưỡng Ẩm 120ml Cho Nam Nữ,bạch tuyết axit amin glycerin,"làm mềm và nuôi dưỡng da, bổ sung độ ẩm và dưỡng chất cho da, làm sạch da của dầu thừa, giúp da ngậm nước và mịn màng",nhiều loại da khác nhau,120 g,,nicor,,
21,19,Sữa rửa mặt nghệ và mật ong collagen x3 [Chính Hãng],"nghệ, mật ong","trắng da, ngừa mụn, diệt khuẩn, lấy đi tế bào chết, làm mờ các vết thâm trên da, giúp da tươi trẻ và sáng mịn",,,,honeybee,,
22,20,(chính hãng) Sữa rửa mặt Hatomugi Naturie hạt ý dĩ 130g 170g Nhật Bản,,,,,,,,
23,21,Sữa rửa mặt Hatomugi ý dĩ dưỡng ẩm trắng da Reihaku Cleansing Facial Foam Nhật Bản,"hạt coix, yến mạch, vitamin e, axit amin","trắng sáng da, dưỡng ẩm, chống viêm và chống lão hóa da",thích hợp cho mọi loại da,"trắng 130g, lớn 170g",chai,hatomugi,,marie japan
24,22,[MUA 1 TẶNG 1] Sữa rửa mặt dành cho da mụn Senka perfect whip acne care 100g,"ngăn ngừa mụn chiết xuất từ hoa cúc từ vùng kyoto nhật bản, acid thuộc nhóm bha","loại bỏ tế bào chết, ngăn chặn tình trạng mụn, làm sạch bụi bẩn và giảm nhờn bóng dầu, cung cấp độ ẩm, chống oxi hóa, giúp da sạch thoáng ẩm mịn sáng rạng rỡ",,,,shiseido,3 năm kể từ ngày sản xuất,công ty tnh shiseido việt nam
25,23,【💯hàng thật】Sữa Rửa Mặt cetaphil Gentle Skin Cleanser 500ml,,"loại bỏ chất nhờn trên mặt, tẩy sạch bụi bẩn và trang điểm mà không làm cho da bị khô ráp, cảm giác sảng khoái tươi mát và sạch sẽ, không gây kích ứng cho da, giúp da giữ được độ ẩm cần thiết để lại cảm giác làn da mềm mại mịn màng và khỏe mạnh",,50 ml,,cetaphil,,nước
26,24,Sữa Rửa Mặt SENANA Amino Acid Collagen 60g Làm Sạch Sâu Dưỡng Ẩm Kiểm Soát Dầu,"axit amin, collagen","làm trắng, hiệu quả dưỡng ẩm, làm sạch sâu",áp dụng chung,60g,,,,
27,25,Gel rửa mặt Cosrx Low pH Good Morning Gel Cleanser,"tinh dầu tràm trà, tea tre oil, bha tự nhiên","kiểm soát dầu trên da, thu nhỏ lỗ chân lông, điều chỉnh kết cấu da, dịu nhẹ","phù hợp với mọi loại da, ngay cả da nhạy cảm và da đang gặp nhiều vấn đề",150 ml,dạng gel,,từ tháng 4 2023,
28,26,Sữa Rửa Mặt Dạng Gel Cosrx Low pH Good Morning Gel Cleanser,"tinh dầu lá tràm trà, bha, ferment, betaine","giúp giảm dầu, thu nhỏ lỗ chân lông, làm dịu da, lấy đi lớp tế bào chết, làm sáng da, dưỡng ẩm cho da, giảm lượng dầu nhờn trên da, làm mềm da",,150 ml,dizzy,cosrx,,hàn quốc
29,11,Sữa Rửa Mặt Dịu Nhẹ Cetaphil Gentle Skin Cleanser Hasaki Sản phẩm chính hãng,"water, cetyl alcohol, glycol, sodium lauryl sulfate, stearyl alcohol","dùng cho mọi loại da, không gây kích ứng, loại bỏ chất nhờn, tẩy sạch bụi bẩn và trang điểm, giữ độ ẩm, làm mềm và diu da","bị mụn trứng cá, chàm, thể tạng, eczema, rôm sảy, hăm da, ngứa da, khô da, nhạy cảm, vảy cá đỏ, da vẩy, nến bỏng, nắng, viêm da dị ứng, da bị kích thích khi sử dụng benzoyl, làn da mềm mại của trẻ em, da phụ nữ sau sinh, da bệnh nhân tránh bị nhiễm lạnh, da của bé sau ăn bú, da mặt tay và toàn thân",,,cetaphil,,
30,27,Sữa Rửa Mặt Cosrx Low PH Good Morning Gel Cleanser 150ml Hàn Quốc / Gel Rửa Mặt Cosrx chiết xuất trà xanh độ PH thấp,"dầu cây trà và các thành phần tự nhiên khác cho công thức tinh khiết nhẹ nhàng. chiết xuất từ cành quả và lá styrax làm dịu làn da nhạy cảm. betaine, bha 0.5 loại bỏ bã nhờn, kem dưỡng sót lại sau 1 đêm và các tế bào da chết","giúp da sạch sâu mà không hề gây cảm giác khô căng, khôi phục lại sự cân bằng ph tối ưu cho da mà không gây kích ứng. làm dịu làn da nhạy cảm, nuôi dưỡng lớp màng acid tự nhiên bảo vệ da.","phù hợp cho mọi loại da, ngay cả làn da nhạy cảm và da mụn",150ml,"dạng gel, có nắp đậy kín",cosrx,hsd 3 năm kể từ ngày sản xuất,thông tin không có
31,28,SỮA RỬA MẶT GAMMAPHIL 500ml,,"làm sạch và dưỡng da cao cấp, thích hợp cho mọi loại da và đặc biệt cho da mỏng manh nhạy cảm của trẻ sơ sinh và trẻ nhỏ","mọi loại da, đặc biệt thích hợp cho da nhạy cảm",50 ml,,,,
32,29,Sữa rửa mặt làm sạch ngăn ngừa mụn từ trà xanh 3W CLINIC GREEN TEA CLEANSING FOAM,chiết xuất từ trà xanh,"chống oxy hóa, làm sạch da và diệt khuẩn",mọi loại da,10 ml,,3 w clinic,,hàn quốc
33,30,"Sữa rửa mặt thảo mộc, ngừa mụn Love Yourself – Đặc biệt an toàn cho mọi làn da, chăm sóc và phục hồi",ngăn ngừa mụn chiết xuất từ lúa mạch việt nam và chiết xuất từ gạo,"an toàn cho mọi làn da, chăm sóc và phục hồi sức sống cho da, giúp lấy sạch bụi bẩn và bã nhờn sâu trong lỗ chân lông, làm sáng da, tạo cảm giác trơn láng mềm mịn sau khi rửa mặt",,,,việt nam,3 năm kể từ ngày sản xuất,công ty tnh mtv mỹ phẩm sắc đẹp việt
34,24,Sữa rửa mặt giảm nám và chống tàn nhang thảo dược BAIZTON da trắng sáng và dưỡng ẩm,,giúp làm mờ các mảng nám tàn nhàng và thâm mụn hiệu quả đối với tất cả các loại nám từ nám mảng chân sâu và nám hỗn hợp nám mới hay lâu năm đều có hiệu quả khi sử dụng đủ liệu trình,,,,,,
35,31,Sữa rửa mặt da dầu mụn La Roche Posay Effaclar Purifying Foaming Gel Cleanser,"nước khoáng la roche posay, kẽm pca","làm sạch bụi bẩn và dầu thừa, giảm mụn, làm dịu da và giảm kích ứng.","phù hợp với mọi loại da, đặc biệt là da nhạy cảm",40ml,"chai nhựa màu trắng đứng, có nắp đậy kín",la roche posay,,pháp
