,user_id,product_id,rating,product_name_x,cmt_date,shop_id,variation_x,product_quality,processed_comment
0,0,0,4,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],2023-01-06 12:28:25,0,Simple,4.0,mùi hương ko bít dành cho da tùy da công da anh ngủ sớm đi làm_việc tại_sao em lại đi làm_việc tại_sao em lại đi làm_việc tại_sao em lại đi làm_việc tại_sao em lại đi làm_việc tại_sao em lại đi làm_việc tại_sao em lại đi làm_việc tại_sao em lại đi làm_việc tại_sao lại không_thể không nhắc tới trong văn_phòng đại_dương do_đó việc tại các cậu ơi cho mình hỏi là cháu của ông đã làm chủ được mình ko biết bé opa đi vào hôm thứ sáu thứ_bảy ngày đợi mong shop gửi hàng đi làm_việc tại
1,1,0,5,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],2023-01-03 12:18:12,0,Simple,5.0,mùi nhẹ dành cho da mọi loại da công_dụng rửa mặt đúng là đóng_gói không có bọc chống sốc như mấy bạn nói nhưng nhờ giao hàng siêu nhanh hàng nguyên_vẹn hông bị gì hết shiper dễ_thương thumbs_up hàng của cty unilever thì chính hãng không sợ hàng nhái mn nên mua cty cho sd dòng simple cũng mấy năm rồi giá hợp_lý sửa rửa mặt lành_tính nên da nhạy_cảm hỗn_hợp thiên dầu như mình thì yên_tâm sd nhé smiling_face_with_open_hands
2,2,0,5,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],2023-01-05 04:57:08,0,Simple,5.0,công_dụng rửa mặt_hàng giao rất nhanh sản_phẩm chất_lượng đóng_gói rất sơ_sài
3,3,0,5,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],2023-01-06 12:07:48,0,Simple,5.0,lần thứ 2 mua sp simple thì ai cũng biết lành_tính hợp với nhiều da mua trên mal thì ok nhưng góp_ý là bọc hàng nên dán nhiều băng_dính hơn chứ mua về may k bị móp méo nhưng bọc thì 1 nơi srm 1 nơi
4,4,0,5,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],2022-12-31 06:21:50,0,Simple,5.0,mua lần hai rồi dùng rất thích mọi người nên mua nhé hàng chính hãng không phải hàng fake lên mua nhé mọi người đóng_gói cẩn_thận giao hàng nhanh
5,5,0,5,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],2023-01-07 01:50:52,0,Simple,5.0,công_dụng rua mat mùi hương kh mui dành cho da moi loại da giao hàng nhanh sản_phẩm ok hình_ảnh chỉ mang tính_chất minh_họa
6,6,0,5,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],2023-01-05 03:44:20,0,Simple,5.0,ko có túi chống sốc trước có sử_dụng sp này r nay quay lại sẽ ủng_hộ shop lâng sau
7,7,0,5,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],2022-12-27 04:36:07,0,Simple,5.0,công_dụng rửa mặt mùi dành cho da nhạy_cảm_thấy nó hợp với da mình nên mình mua thui với_lại là dùng thích nữa
8,8,0,5,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],2022-12-26 17:38:04,0,Simple,5.0,tháng bảy năm 2010 del rey ký hợp_đồng thu âm với ba hãng đĩa polydor và trong vòng hai năm từ 201 12 cô phát_hành album born to die và các đĩa đơn mang tên video games born to die blue jeans sadnes và anthem album đạt vị_trí quán_quân trên các bảng xếp_hạng của một_số quốc_gia châu_âu bao_gồm pháp ireland và anh quốc và đồng_thời đứng vị_trí số hai trên bảng xếp_hạng bilboard 20 của mỹ năm 2014 del rey phát_hành album và các đĩa đơn west coast shades of col và broklyn baby album đứng vị_trí số_một trên các bảng xếp_hạng của nhiều quốc_gia như úc áo đức pháp mỹ và liên_hiệp anh
9,9,0,5,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],2022-12-17 05:42:51,0,Simple,5.0,công_dụng rửa sạch mùi hương k mua hàng chính hãng sparkles hết mik lại mua cứ thế thôi da cũng hợp mà giá học_sinh nên thử nhá lưu_ý pleading_face nhưng ai hay makeup thì rửa loại này k sạch lắm đâu
